trade_id,direction,signal_time,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,lot_size,commission,spread_cost,slippage_cost,gross_profit,net_profit,profit_pips,exit_reason,holding_bars,confidence,prediction_class,session,atr_at_entry
89813ed8,SELL,2022-06-21 18:30:00+00:00,2022-06-21 18:45:00+00:00,2022-06-22 04:15:00+00:00,1.05525,1.05082,1.05746,1.05082,0.44,3.08,10.0,4.5677,194.92,180.3523,44.3,tp,38,0.9678633213043213,0,newyork,0.0014750000000000357
014c60dd,SELL,2022-06-21 18:45:00+00:00,2022-06-21 19:00:00+00:00,2022-06-22 07:30:00+00:00,1.05469,1.05016,1.05696,1.05016,0.45,3.15,10.0,4.4813,203.85,189.3687,45.3,tp,50,0.8887556195259094,0,newyork,0.0015103571428571622
4d783cb0,SELL,2022-06-21 20:00:00+00:00,2022-06-21 20:15:00+00:00,2022-06-22 07:45:00+00:00,1.05345,1.04961,1.05537,1.04961,0.51,3.57,10.0,4.6661,195.84,181.1739,38.4,tp,46,0.7176364064216614,0,newyork,0.0012799302832206647
c1728f37,SELL,2022-06-22 04:15:00+00:00,2022-06-22 04:30:00+00:00,2022-06-22 08:45:00+00:00,1.05128,1.04914,1.05108,1.04914,1.01,7.07,10.0,7.106,216.14,199.034,21.4,tp,17,0.8970618844032288,0,asian,0.0007137375525594603
5011272e,SELL,2022-06-22 07:45:00+00:00,2022-06-22 08:00:00+00:00,2022-06-22 09:15:00+00:00,1.04956,1.05052,1.05052,1.04765,1.09,7.63,10.0,0.5079,-104.64,-115.1479,-9.6,sl,5,0.7053090929985046,0,london,0.000636939241179064
7674f3c0,SELL,2022-06-22 07:30:00+00:00,2022-06-22 07:45:00+00:00,2022-06-22 10:00:00+00:00,1.05012,1.04818,1.04992,1.04818,1.11,7.77,10.0,4.6172,215.34,200.7228,19.4,tp,9,0.6169387698173523,0,london,0.0006451653366543828
a3884a06,SELL,2022-06-22 09:15:00+00:00,2022-06-22 09:30:00+00:00,2022-06-22 10:00:00+00:00,1.05049,1.04806,1.05029,1.04806,0.98,6.86,10.0,5.997,238.14,222.143,24.3,tp,2,0.9539986252784729,0,london,0.0008091007349956729
9030d0bd,SELL,2022-06-22 09:45:00+00:00,2022-06-22 10:00:00+00:00,2022-06-22 10:45:00+00:00,1.04906,1.05049,1.05049,1.04621,0.86,6.02,10.0,4.198,-122.98,-137.178,-14.3,sl,3,0.7621800303459167,0,london,0.0009506531847666853
b041912e,BUY,2022-06-23 04:00:00+00:00,2022-06-23 04:15:00+00:00,2022-06-23 04:30:00+00:00,1.05755,1.05653,1.05653,1.05959,1.1,7.7,10.0,5.3477,-112.2,-127.5477,-10.2,sl,1,0.7466135025024414,2,asian,0.0006799659606903787
ec0ad4b2,BUY,2022-06-23 03:30:00+00:00,2022-06-23 03:45:00+00:00,2022-06-23 05:15:00+00:00,1.05657,1.05562,1.05562,1.05848,1.22,8.54,10.0,4.3491,-115.9,-130.2491,-9.5,sl,6,0.7063151001930237,2,asian,0.0006355226526350017
