iter	Logloss
0	0.6645866394
1	0.6344229126
2	0.60698054
3	0.5790207926
4	0.5561420695
5	0.5378106689
6	0.5242150879
7	0.5077057902
8	0.4933673096
9	0.4803757731
10	0.4685925802
11	0.4527961222
12	0.4404839071
13	0.4281159465
14	0.4169390615
15	0.4081908925
16	0.4011775716
17	0.3924876404
18	0.3823280843
19	0.3753023783
20	0.3690574392
21	0.3612903849
22	0.356460139
23	0.3498895772
24	0.3441921997
25	0.3394417826
26	0.3328111267
27	0.3269833374
28	0.3223904419
29	0.3176516215
30	0.3116441345
31	0.3064305623
32	0.3004007975
33	0.2953786214
34	0.2908672587
35	0.286329244
36	0.2817289988
37	0.2775130208
38	0.2745399984
39	0.2711548106
40	0.2684590658
41	0.2654671478
42	0.2636916097
43	0.2607205963
44	0.2580712891
45	0.2555260722
46	0.2529727681
47	0.2501429749
48	0.2480890401
49	0.2459609477
50	0.243502299
51	0.2412256877
52	0.2386013794
53	0.2350932821
54	0.2334786479
55	0.2304742177
56	0.2276285807
57	0.2254112244
58	0.2234126027
59	0.2215137227
60	0.2196505229
61	0.2178262329
62	0.2156829325
63	0.2137708537
64	0.2114052582
65	0.2098853938
66	0.2084705989
67	0.2053509013
68	0.2025470479
69	0.2002770869
70	0.1987235769
71	0.1966159312
72	0.1947199122
73	0.1927128855
74	0.192301356
75	0.1901054637
76	0.1879839834
77	0.1862372335
78	0.183843104
79	0.1811617279
80	0.1798619588
81	0.1778730265
82	0.1761256154
83	0.1744424566
84	0.1728819021
85	0.1709136709
86	0.1695832316
87	0.1676853307
88	0.167410876
89	0.1660338084
90	0.1657024511
91	0.1645297623
92	0.1631975555
93	0.1621886698
94	0.161950709
95	0.1614993159
96	0.1612148539
97	0.1609878922
98	0.1591984812
99	0.1589208984
