iter	Passed	Remaining
0	8	801
1	15	757
2	21	701
3	25	619
4	29	557
5	33	528
6	37	491
7	40	463
8	43	440
9	46	420
10	50	405
11	53	389
12	56	375
13	59	364
14	63	357
15	67	352
16	70	343
17	73	333
18	76	326
19	80	320
20	84	317
21	88	313
22	91	307
23	96	305
24	100	302
25	104	298
26	108	293
27	112	288
28	116	284
29	120	280
30	124	277
31	127	270
32	130	264
33	132	258
34	135	252
35	138	247
36	140	239
37	145	238
38	148	232
39	151	226
40	153	220
41	158	218
42	162	215
43	165	210
44	167	204
45	169	199
46	172	194
47	175	189
48	177	184
49	179	179
50	181	174
51	183	169
52	186	165
53	188	160
54	191	156
55	193	151
56	195	147
57	197	143
58	200	139
59	202	135
60	205	131
61	209	128
62	213	125
63	215	121
64	217	117
65	219	113
66	222	109
67	224	105
68	227	102
69	229	98
70	231	94
71	233	90
72	236	87
73	238	83
74	240	80
75	242	76
76	244	73
77	246	69
78	248	66
79	251	62
80	253	59
81	256	56
82	258	52
83	260	49
84	262	46
85	264	43
86	267	39
87	270	36
88	272	33
89	275	30
90	277	27
91	280	24
92	283	21
93	286	18
94	287	15
95	289	12
96	292	9
97	294	6
98	296	2
99	300	0
